,job_title,company_name,location,job_type,job_description,job_link_tag
0,"Srinagar
                                    Based Backend Developer",Kayana World LTD,"Jammu, Jammu and Kashmir","â‚¹15,00,000
                                        a year","Design, develop, and maintain high-quality Java applications
                            using Spring Framework, Spring Boot, and Spring Microservices.
Job Types: Full-time, Permanent.",/pagead/clk?mo=r&ad=-6NYlbfkN0BVabmyESpHcbqt9Qd8Q6NQD2BkXg4q_w9irT7bytsIdnAaWcVo5sFS7YEKVkznLTrta6xg2z82Jy98yjzoXgnB5P9ADkXAxxR4TPo4I7cdIYau4Af7r2MWXWWF56rywGRELFi4T_aift_1mlS31KPZirLV-bbZSToFg0tITrCJFOxTZ9-bu4MnfRVd_7WQBxvga18rHyYALnBfcRgtch3hib8445QL_XKDbjIPcFC3SFhuUa4gJlZWPNLc8NU0yZSsJ2pDNUujHTYTb3kntx-3x9j23j-uYI4Pov95pMGFtzZafPtLl5SxMAdvzwbsznddfiESBovs4c0Enn-PhNIiQLDQ-01HR7ToY5DIeX4doKidxU_ntCfAA4kAoBrHQMNTVSdgC2XCLzF72yZYJsTkGGxy8oA7X_npLOsBDqLwUhTNEGoqvdiKUUi16ewzGPJWYQKctE4Gblqn7JUENWlInT2QNZ7ANHooP1R1DwGljy_tLBBb60k-9nmkpvGL3cZmmS3aiPEaVvP7VNRTA9YTkKjkQ66xUZszWhtTRV02Ojc_Uh7Xh8FDGtWpmixuuTUFBlX1qKY8D4WgUjRSAEmfd4LbVjtj3zBnXmJVb_7P_IBMWy_vBxXjca2ZIQ81XSMBJ6mtDS3QzFTuQqzenz_f&xkcb=SoAD6_M33HJTY6wAoR0LbzkdCdPP&camk=nUmJqO2E8rhJhKlyz143TQ==&p=0&fvj=0&vjs=3
1,"Java Developer - Associate - Software
                                    Engineering",Morgan Stanley,"Bengaluru, Karnataka",Full-time,"The role is to contribute to the strategic component development and integrate the existing
                            modules / applications using the new solution.",/rc/clk?jk=9b61b318aa26f901&bb=a8LauHc3a-TKxvVr4ePZzSkD9MzBQ8EBxWYk05OP6E27pENbxw6xYmtLXOkJ0ZPbLPM_zItlFDcrjz6wyywdyetNEeDqktEcwAuafBnmozm2zud0G9deMg%3D%3D&xkcb=SoBD67M33HJTY6wAoR0KbzkdCdPP&fccid=0c39fb2c91742dcf&vjs=3
2,Software Developer,Ishttaa Techcraft Pvt Ltd,"Banashankari, Bengaluru, Karnataka","From â‚¹4,00,000 a year",". * Ownership of project delivery * Knowledge of multiple front-end languages and libraries (eg. HTML/CSS, JavaScrit, XML, jQuery).",/rc/clk?jk=009b73b2e6e94a47&bb=a8LauHc3a-TKxvVr4ePZzU7FLEhjKbWYgpJvjm_M7-mu-bYXT-tS0RD5urFYz9ZNrPXOPVHeUdOsVt8JJwti6NG2QrcTelTKnTPD1G8ouE3hUaqdYpY09cU70DWYcfHs&xkcb=SoC567M33HJTY6wAoR0BbzkdCdPP&fccid=6fa238536ebff74f&cmp=Ishttaa-Techcraft-Pvt-Ltd&ti=Software+Engineer&vjs=3
3,Software Engineer 2,Microsoft,"Bengaluru, Karnataka",N/A,"Hands-on experience building production quality software (ideally cloud services) in an agile environment.
Measures customer value, usage patterns, and otherâ€¦",/rc/clk?jk=0189d2f5b62f6e8e&bb=a8LauHc3a-TKxvVr4ePZzeSjLd0lsr2gwWtRgLAtEjFEqQLkOHcAAvUhQ1zQzh366MWCEUqzg8nSvN-9epSDzXjO_ZfOWH4soesoPEwo8w16lZGgqYFmcA%3D%3D&xkcb=SoAN67M33HJTY6wAoR0AbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
4,"Software
                                    Engineer",Turing.com,Remote,N/A,"As a Senior Software Engineer , you will play a key role in designing, developing,
                            and implementing complex software solutions that drive business successâ€¦",/rc/clk?jk=567cb07118e011c8&bb=a8LauHc3a-TKxvVr4ePZzaOiJD9tgLjVg9OJbhtBFBxHBWGyLiCxT6KFLCRXpQptaIouWGOYEifCxB_9so48S13sQXkcV7gYCJn_rtQdBu1YCXbVKD5q6X6paZ6_F16W&xkcb=SoCD67M33HJTY6wAoR0HbzkdCdPP&fccid=549b83f57bc89770&cmp=Turing.com&ti=Software+Engineer&vjs=3
5,Backend Developer,Nirnayan Healthcare Pvt Ltd,"Twenty-four Parganas District, West Bengal","â‚¹20,000 - â‚¹35,000 a month",You will collaborate with front-end developers and other team members to ensure seamless integration and exceptional performance.,/rc/clk?jk=e88d17c3858bef3e&bb=a8LauHc3a-TKxvVr4ePZzcN3wHef1J0qnKAzZG4nOl2gJ6L33aPDszUQ3mpfdI-HI_9lkmMZV2e8YUQP9e_dNdBxDMfyN7Qunwtv56uoNftlcWuppJmVq0EzGSwZwXMO&xkcb=SoA367M33HJTY6wAoR0GbzkdCdPP&fccid=5c8708d8120c90fd&cmp=NIRNAYAN-HEALTHCARE-PVT-LTD&ti=Back+End+Developer&vjs=3
6,Software Developer,AEROGO,"Yelahanka, Bengaluru, Karnataka",N/A,"Strong knowledge of software development best practices and design patterns.
You will collaborate with multidisciplinary teams to develop and maintain highâ€¦",/rc/clk?jk=f798a47cbb78b05c&bb=a8LauHc3a-TKxvVr4ePZzSBCX3Nltlwo3vXGx0l7nj9jW4wsERcLLHZC8SJQm_z7npYoHoP8Hg6X_-c7C5MzzwT6g9BithRK26oWuFspE9HIWbarkSQBPsZGKhkGhA3E&xkcb=SoCq67M33HJTY6wAoR0FbzkdCdPP&fccid=6243d3996772f631&cmp=AQUAAIRX-Autonomous-Systems-Private-Limited&ti=Software+Engineer&vjs=3
7,Java Developers - Freshers,BigSpire Software,"Banaswadi, Bengaluru, Karnataka",N/A,"Skill Sets: Should have a good communication skills, knowledge in java programming Qualifications: Any Degree with Computer Background. Please forward yourâ€¦",/rc/clk?jk=9c41a3b220869182&bb=a8LauHc3a-TKxvVr4ePZzclavx_TDqJyGiiqNyi_mje5bkpUTgnwqrW3syOo2w7FPuXMetvUrCKD3C-peHekxpzAfAOCZUjCegUFeblkrqF8Ueb3LCTPFUzO8SmNP3bH&xkcb=SoDe67M33HJTY6wAoR0JbzkdCdPP&fccid=1e3e186f5f922b89&vjs=3
8,HTML Developers - Freshers,BigSpire Software,"Banaswadi, Bengaluru, Karnataka",N/A,"Skill Sets: Should have a good communication skills, knowledge in html programming, CSS and Javascripts.",/rc/clk?jk=90acbe9efc7821c7&bb=a8LauHc3a-TKxvVr4ePZzf_q4_so2L1g0PxlZYYVhXyAWfhkexuO-NqtirDxr4LGcWGIAwC1QDmzn3DWsI_TFVq99xjbdcPBHMdXGq-0aI_MGSD8SSe8sJRt2mAv1rk1&xkcb=SoBq67M33HJTY6wAoR0IbzkdCdPP&fccid=1e3e186f5f922b89&vjs=3
9,Software Developer,Leuwint technologies,"Palghat District, Kerala",Full-time,"Candidates who are passionate about software development and eager to gain hands-on experience in building, and maintaining software applications.",/rc/clk?jk=bf0aefce38808d6d&bb=a8LauHc3a-TKxvVr4ePZzVniSfG_3MThOqucPLpmu_UTU_Nue4GCtFJlfdwTKXQapY0OEqZMnZlIIK9fec0Hq5076HTNjcnTrJjkt6CjUtXq4yqrLIoV2U-QrIN-SUjM&xkcb=SoDk67M33HJTY6wAoR0PbzkdCdPP&fccid=48e3f793c44521a4&cmp=Leuwint-technologies&ti=Software+Engineer&vjs=3
10,Software Developer,Oracle,India,Part-time,"You will be responsible for defining and developing software for tasks associated with the developing, designing and debugging of software applications orâ€¦",/rc/clk?jk=90fdc9f114cb2064&bb=a8LauHc3a-TKxvVr4ePZzYDzZ8dSVYb2uJhxEKmB2p3ScTrOq9h3SzWIUFnu5RlWQy3KhTCJQdZvw3hW7x1cd_KtnxlNW4ZppL92BHjgmbFvEhnuY2K9kg%3D%3D&xkcb=SoBQ67M33HJTY6wAoR0ObzkdCdPP&fccid=cd22d01053af7669&vjs=3
11,Software Engineer Intern,Ga Cosmos (OPC) Pvt. Ltd.,"Gorakhpur, Uttar Pradesh",Internship,"Must have completed, Professional degrees like BCA, MCA, and BTech.",/rc/clk?jk=c0882abd3e78fe9e&bb=a8LauHc3a-TKxvVr4ePZze-kULaa-iTaBXOPQCCAjKVclNISpCo6IJbqkpw_08TZ2-LSxtF4qzxOryH_yS9pedXvKAaylekx4hgcOOE1i5CKxUh5dn2J5P6-3W9HWYH6&xkcb=SoDN67M33HJTY6wAoR0NbzkdCdPP&fccid=1c6aba2c24a18932&cmp=Ga-Cosmos-%28OPC%29-Pvt.-Ltd.&ti=Software+Engineer+Intern&vjs=3
12,Software Developer,InSilico Solutions LLP,"R. T. Nagar, Bengaluru, Karnataka",N/A,"Customer interaction, Design, Coding, Testing, Deployment and Support.
Job Types: Full-time, Fresher.
Total work: 1 year (Preferred).",/rc/clk?jk=3ba6fd4fcdc097f5&bb=a8LauHc3a-TKxvVr4ePZze-kULaa-iTacj8c2M0JCmtIqBPrbmQ0DrDGhmfwestOyN7F0vmsAbgUX2yNoGV9yaXoVOZ_QlyNTzx1ISfBzipKVbLcHJxIHIIY1ntjbG9k&xkcb=SoB567M33HJTY6wAoR0MbzkdCdPP&fccid=495f82e5f3069ddd&cmp=InSilico-Solutions-LLP&ti=Software+Engineer&vjs=3
13,Jr. Software Developer,Leuwint technologies,"Palghat District, Kerala",N/A,"Candidates who are passionate about software development and eager to gain hands-on experience in building, and maintaining software applications.",/rc/clk?jk=4075ed4ee7e46c79&bb=a8LauHc3a-TKxvVr4ePZzfG7KMs3DgcQqCXx9mHUtWgbc2_iDWpAssHd8HKdMoefcRDer1eyq7FUesuUG4gTeo47rR4DovFK0D3ab_2firBazgI13p9Qfy55x3sf5X-8&xkcb=SoCQ67M33HJTY6wAoR0DbzkdCdPP&fccid=48e3f793c44521a4&cmp=Leuwint-technologies&ti=Junior+Software+Engineer&vjs=3
14,Java Developer Intern,Vertical Software,"Pune, Maharashtra",N/A,Job Roll's and Responsibility's - Designs and develops user interfaces to internet/intranet applications by setting expectations and features prioritiesâ€¦,/rc/clk?jk=9332d113312f097b&bb=a8LauHc3a-TKxvVr4ePZzW-I1l6CSQowf5UKLA0kRoUFAo9C5BuEXu0B3KCJEBbxLoqkbARdVAtAkX3_V_C8P-rpQmVcm8Ch7jqxgS4Pmh0hu2sSm34CtZ5DfP6Wpe_W&xkcb=SoAk67M33HJTY6wAoR0CbzkdCdPP&fccid=c531f050cf3adae0&vjs=3
